id,name,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
1,’≈…ÈÔÿ,121.03,737.17,857.51,857.51,857.51,857.51,900.39,1031.67,1856.64,1932.46,1932.46,2036.34,2122.22,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2127.5,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02,2128.02
22,ª™ø°,239.81,239.81,239.81,316.04,316.04,369.73,422.11,971.17,1347.72,1383,1408.37,1408.37,1408.37,1408.37,1408.37,1408.37,1408.37,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1464.67,1529.36,1529.36,1529.36,1529.36,1546.6,1546.6,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1634.82,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45,1637.45
24,ÃÔ“ÁïP,85.57,85.57,85.57,85.57,85.57,136.56,136.56,136.56,186.55,808.71,861.14,922.54,992.61,1160.75,1172.85,1245.53,1245.53,1327.82,1392.02,1467.13,1479.58,1926.1,1995.12,1995.12,2034.28,2122.98,2154.08,2154.83,2170.88,2179.78,2181.11,2184.22,2198.29,2217.16,2217.16,2227.64,2264.48,2265.72,2289.2,2289.2,2300.75,2311.71,2349.41,2360.84,2377.76,2411.21,2411.21,2411.21,2411.93,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2412.65,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42,2422.42
26,…€œ˛∑«,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,223.29,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01,334.01
27,¬ÛŒ∞º·,183.92,183.92,278.35,336.19,796.24,1354.85,1396.61,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2,1409.2
31,’≈∫Í,167.29,748.68,748.68,748.68,780,833.01,904.89,1719.96,1730.48,1733.09,1843.29,1857.95,1934.49,1941.82,1968.39,1975.35,1975.35,1975.35,1975.43,1975.43,1975.43,1975.43,1975.43,1975.43,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24,1976.24
32,¿Ó∑Â,85.57,85.57,85.57,85.57,240.65,277.78,415.63,415.63,899.61,1661.08,1705.63,1740.08,1756.23,1766.81,1834.5,1849.3,1896.2,1896.2,1896.2,1896.2,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4,1920.4
33,¡ıΩ‹,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,181.92,566.51,566.51,566.51,566.51,917.64,917.64,953.74,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64,1076.64
34,…€π‚,106.11,106.11,198.5,198.5,198.5,230.36,263.36,303.76,354.47,701.78,768.69,769.3,769.3,769.3,769.3,825.94,1722.49,1751.9,1766.16,1810.91,1838.2,1838.2,1845.02,1971.43,1972.5,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65,1993.65
36,’≈Í ,107.78,107.78,107.78,200.94,596.2,642.26,832.54,899.09,916.25,961.02,1019.64,1075.91,1151.3,1165.91,1165.91,1166.96,1172.45,1172.45,1172.45,1172.45,1172.45,1250.88,1254.09,1254.09,1254.09,1254.09,1254.09,1254.09,1254.09,1262.45,1262.45,1265.98,1279.34,1279.34,1279.34,1279.34,1279.34,1294.65,1294.65,1294.65,1294.65,1294.65,1294.65,1310.61,1324.17,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1335.5,1359.73,1359.73,1359.73,1364.85,1364.85,1364.85,1364.85,1372.96,1372.96,1372.96,1379.23,1393.15,1409.59,1409.59,1409.59,1409.59,1409.59,1412.06,1412.06,1412.06,1412.06,1412.06,1412.06,1412.06,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1424.38,1426.13,1426.13,1426.13,1426.13,1426.13,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1427.75,1447.96,1447.96,1449.82,1449.82
